# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 3 - blca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 84
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	4073	36	72.0%
2	2737	34	68.0%
3	2033	33	66.0%
4	1882	32	64.0%
5	151	26	52.0%
6	4655	20	40.0%
7	1707	19	38.0%
8	4541	19	38.0%
9	4067	18	36.0%
10	4792	11	22.0%
11	2012	11	22.0%
12	71	10	20.0%
13	4930	7	14.0%
14	2187	7	14.0%
15	4870	7	14.0%
16	1524	6	12.0%
17	4390	6	12.0%
18	3936	6	12.0%
19	2916	5	10.0%
20	4585	5	10.0%
21	1011	5	10.0%
22	1377	5	10.0%
23	2367	5	10.0%
24	4266	5	10.0%
25	720	4	8.0%
26	973	4	8.0%
27	4989	4	8.0%
28	4552	4	8.0%
29	499	4	8.0%
30	4316	4	8.0%
31	104	3	6.0%
32	1965	3	6.0%
33	2962	3	6.0%
34	4850	3	6.0%
35	1319	3	6.0%
36	3899	3	6.0%
37	4866	2	4.0%
38	4980	2	4.0%
39	4517	2	4.0%
40	4148	2	4.0%
41	4709	2	4.0%
42	4586	2	4.0%
43	3352	2	4.0%
44	4285	2	4.0%
45	1706	2	4.0%
46	1881	2	4.0%
47	2736	2	4.0%
48	4072	2	4.0%
49	4829	1	2.0%
50	1292	1	2.0%
51	265	1	2.0%
52	47	1	2.0%
53	2656	1	2.0%
54	644	1	2.0%
55	1308	1	2.0%
56	392	1	2.0%
57	4863	1	2.0%
58	2584	1	2.0%
59	3070	1	2.0%
60	4669	1	2.0%
61	1641	1	2.0%
62	3417	1	2.0%
63	2144	1	2.0%
64	3196	1	2.0%
65	4849	1	2.0%
66	4226	1	2.0%
67	259	1	2.0%
68	1626	1	2.0%
69	1816	1	2.0%
70	2205	1	2.0%
71	1711	1	2.0%
72	2186	1	2.0%
73	3898	1	2.0%
74	4066	1	2.0%
75	1824	1	2.0%
76	2032	1	2.0%
77	2961	1	2.0%
78	4654	1	2.0%
79	4929	1	2.0%
80	3370	1	2.0%
81	4193	1	2.0%
82	4979	1	2.0%
83	804	1	2.0%
84	1181	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 3 - blca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 84
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	4073	36	72.0%
2	2737	34	68.0%
3	2033	33	66.0%
4	1882	32	64.0%
5	151	26	52.0%
6	4655	20	40.0%
7	1707	19	38.0%
8	4541	19	38.0%
9	4067	18	36.0%
10	4792	11	22.0%
11	2012	11	22.0%
12	71	10	20.0%
13	4930	7	14.0%
14	2187	7	14.0%
15	4870	7	14.0%
16	1524	6	12.0%
17	4390	6	12.0%
18	3936	6	12.0%
19	2916	5	10.0%
20	4585	5	10.0%
21	1011	5	10.0%
22	1377	5	10.0%
23	2367	5	10.0%
24	4266	5	10.0%
25	720	4	8.0%
26	973	4	8.0%
27	4989	4	8.0%
28	4552	4	8.0%
29	499	4	8.0%
30	4316	4	8.0%
31	104	3	6.0%
32	1965	3	6.0%
33	2962	3	6.0%
34	4850	3	6.0%
35	1319	3	6.0%
36	3899	3	6.0%
37	4866	2	4.0%
38	4980	2	4.0%
39	4517	2	4.0%
40	4148	2	4.0%
41	4709	2	4.0%
42	4586	2	4.0%
43	3352	2	4.0%
44	4285	2	4.0%
45	1706	2	4.0%
46	1881	2	4.0%
47	2736	2	4.0%
48	4072	2	4.0%
49	4829	1	2.0%
50	1292	1	2.0%
51	265	1	2.0%
52	47	1	2.0%
53	2656	1	2.0%
54	644	1	2.0%
55	1308	1	2.0%
56	392	1	2.0%
57	4863	1	2.0%
58	2584	1	2.0%
59	3070	1	2.0%
60	4669	1	2.0%
61	1641	1	2.0%
62	3417	1	2.0%
63	2144	1	2.0%
64	3196	1	2.0%
65	4849	1	2.0%
66	4226	1	2.0%
67	259	1	2.0%
68	1626	1	2.0%
69	1816	1	2.0%
70	2205	1	2.0%
71	1711	1	2.0%
72	2186	1	2.0%
73	3898	1	2.0%
74	4066	1	2.0%
75	1824	1	2.0%
76	2032	1	2.0%
77	2961	1	2.0%
78	4654	1	2.0%
79	4929	1	2.0%
80	3370	1	2.0%
81	4193	1	2.0%
82	4979	1	2.0%
83	804	1	2.0%
84	1181	1	2.0%
