# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 0 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 144
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	1950	50	100.0%
2	2423	50	100.0%
3	2469	50	100.0%
4	1028	48	96.0%
5	1068	47	94.0%
6	2602	46	92.0%
7	676	45	90.0%
8	577	43	86.0%
9	3149	42	84.0%
10	3431	40	80.0%
11	4559	36	72.0%
12	4166	36	72.0%
13	3224	32	64.0%
14	4440	32	64.0%
15	392	31	62.0%
16	1873	31	62.0%
17	4450	27	54.0%
18	2831	21	42.0%
19	4598	20	40.0%
20	2436	19	38.0%
21	3555	18	36.0%
22	3571	17	34.0%
23	4389	17	34.0%
24	824	17	34.0%
25	2048	16	32.0%
26	4668	15	30.0%
27	3065	15	30.0%
28	157	14	28.0%
29	695	13	26.0%
30	4030	12	24.0%
31	3732	12	24.0%
32	605	12	24.0%
33	260	12	24.0%
34	1113	12	24.0%
35	1892	11	22.0%
36	4511	11	22.0%
37	4966	11	22.0%
38	2395	10	20.0%
39	2086	10	20.0%
40	124	9	18.0%
41	4566	9	18.0%
42	4392	9	18.0%
43	1781	8	16.0%
44	1852	8	16.0%
45	1867	8	16.0%
46	1060	8	16.0%
47	2245	8	16.0%
48	4708	7	14.0%
49	136	7	14.0%
50	3406	7	14.0%
51	2118	7	14.0%
52	3673	6	12.0%
53	3770	6	12.0%
54	3322	6	12.0%
55	374	6	12.0%
56	3055	5	10.0%
57	4797	5	10.0%
58	4805	5	10.0%
59	2815	4	8.0%
60	4682	4	8.0%
61	1734	4	8.0%
62	4477	4	8.0%
63	4644	4	8.0%
64	968	4	8.0%
65	3889	4	8.0%
66	3965	3	6.0%
67	2525	3	6.0%
68	4528	3	6.0%
69	578	3	6.0%
70	1071	3	6.0%
71	4553	3	6.0%
72	2499	3	6.0%
73	4464	3	6.0%
74	958	3	6.0%
75	1849	3	6.0%
76	4760	3	6.0%
77	3750	3	6.0%
78	3023	3	6.0%
79	1997	2	4.0%
80	1205	2	4.0%
81	4484	2	4.0%
82	4899	2	4.0%
83	1054	2	4.0%
84	4858	2	4.0%
85	4915	2	4.0%
86	3923	2	4.0%
87	3110	2	4.0%
88	3734	2	4.0%
89	3506	2	4.0%
90	3237	2	4.0%
91	444	2	4.0%
92	3822	2	4.0%
93	861	2	4.0%
94	4686	2	4.0%
95	2371	2	4.0%
96	4481	2	4.0%
97	4747	2	4.0%
98	991	2	4.0%
99	1485	2	4.0%
100	845	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 0 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 144
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	1950	50	100.0%
2	2423	50	100.0%
3	2469	50	100.0%
4	1028	48	96.0%
5	1068	47	94.0%
6	2602	46	92.0%
7	676	45	90.0%
8	577	43	86.0%
9	3149	42	84.0%
10	3431	40	80.0%
11	4559	36	72.0%
12	4166	36	72.0%
13	3224	32	64.0%
14	4440	32	64.0%
15	392	31	62.0%
16	1873	31	62.0%
17	4450	27	54.0%
18	2831	21	42.0%
19	4598	20	40.0%
20	2436	19	38.0%
21	3555	18	36.0%
22	3571	17	34.0%
23	4389	17	34.0%
24	824	17	34.0%
25	2048	16	32.0%
26	4668	15	30.0%
27	3065	15	30.0%
28	157	14	28.0%
29	695	13	26.0%
30	4030	12	24.0%
31	3732	12	24.0%
32	605	12	24.0%
33	260	12	24.0%
34	1113	12	24.0%
35	1892	11	22.0%
36	4511	11	22.0%
37	4966	11	22.0%
38	2395	10	20.0%
39	2086	10	20.0%
40	124	9	18.0%
41	4566	9	18.0%
42	4392	9	18.0%
43	1781	8	16.0%
44	1852	8	16.0%
45	1867	8	16.0%
46	1060	8	16.0%
47	2245	8	16.0%
48	4708	7	14.0%
49	136	7	14.0%
50	3406	7	14.0%
51	2118	7	14.0%
52	3673	6	12.0%
53	3770	6	12.0%
54	3322	6	12.0%
55	374	6	12.0%
56	3055	5	10.0%
57	4797	5	10.0%
58	4805	5	10.0%
59	2815	4	8.0%
60	4682	4	8.0%
61	1734	4	8.0%
62	4477	4	8.0%
63	4644	4	8.0%
64	968	4	8.0%
65	3889	4	8.0%
66	3965	3	6.0%
67	2525	3	6.0%
68	4528	3	6.0%
69	578	3	6.0%
70	1071	3	6.0%
71	4553	3	6.0%
72	2499	3	6.0%
73	4464	3	6.0%
74	958	3	6.0%
75	1849	3	6.0%
76	4760	3	6.0%
77	3750	3	6.0%
78	3023	3	6.0%
79	1997	2	4.0%
80	1205	2	4.0%
81	4484	2	4.0%
82	4899	2	4.0%
83	1054	2	4.0%
84	4858	2	4.0%
85	4915	2	4.0%
86	3923	2	4.0%
87	3110	2	4.0%
88	3734	2	4.0%
89	3506	2	4.0%
90	3237	2	4.0%
91	444	2	4.0%
92	3822	2	4.0%
93	861	2	4.0%
94	4686	2	4.0%
95	2371	2	4.0%
96	4481	2	4.0%
97	4747	2	4.0%
98	991	2	4.0%
99	1485	2	4.0%
100	845	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 0 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 144
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	1950	50	100.0%
2	2423	50	100.0%
3	2469	50	100.0%
4	1028	48	96.0%
5	1068	47	94.0%
6	2602	46	92.0%
7	676	45	90.0%
8	577	43	86.0%
9	3149	42	84.0%
10	3431	40	80.0%
11	4559	36	72.0%
12	4166	36	72.0%
13	3224	32	64.0%
14	4440	32	64.0%
15	392	31	62.0%
16	1873	31	62.0%
17	4450	27	54.0%
18	2831	21	42.0%
19	4598	20	40.0%
20	2436	19	38.0%
