# 实验时间: 2026-04-03
# 基因稳定性验证结果 - Fold 0 - hnsc
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 54
# 频次阈值: 1
# TopK(阈值<=1时生效): 50
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	1883	44	86.3%
2	3171	44	86.3%
3	4257	44	86.3%
4	3991	39	76.5%
5	1478	31	60.8%
6	3700	20	39.2%
7	1135	19	37.3%
8	780	16	31.4%
9	2352	15	29.4%
10	283	12	23.5%
11	4002	11	21.6%
12	1268	8	15.7%
13	757	8	15.7%
14	1063	7	13.7%
15	3515	7	13.7%
16	187	7	13.7%
17	4433	6	11.8%
18	1019	5	9.8%
19	2282	5	9.8%
20	3882	5	9.8%
21	310	5	9.8%
22	4221	5	9.8%
23	3782	5	9.8%
24	1570	5	9.8%
25	83	4	7.8%
26	1008	4	7.8%
27	2584	4	7.8%
28	569	4	7.8%
29	4186	4	7.8%
30	4849	3	5.9%
31	1147	3	5.9%
32	3893	3	5.9%
33	4062	3	5.9%
34	3770	3	5.9%
35	1404	2	3.9%
36	1723	2	3.9%
37	4195	2	3.9%
38	232	2	3.9%
39	4749	2	3.9%
40	3174	2	3.9%
41	4688	1	2.0%
42	4940	1	2.0%
43	1733	1	2.0%
44	4166	1	2.0%
45	1608	1	2.0%
46	1882	1	2.0%
47	493	1	2.0%
48	3064	1	2.0%
49	3422	1	2.0%
50	3110	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 0 - hnsc
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 54
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	1883	43	86.0%
2	3171	43	86.0%
3	4257	43	86.0%
4	3991	38	76.0%
5	1478	30	60.0%
6	1135	19	38.0%
7	3700	19	38.0%
8	780	15	30.0%
9	2352	14	28.0%
10	283	12	24.0%
11	4002	11	22.0%
12	1268	8	16.0%
13	757	8	16.0%
14	1063	7	14.0%
15	3515	7	14.0%
16	187	7	14.0%
17	4433	6	12.0%
18	1019	5	10.0%
19	2282	5	10.0%
20	3882	5	10.0%
21	310	5	10.0%
22	4221	5	10.0%
23	3782	5	10.0%
24	1570	5	10.0%
25	83	4	8.0%
26	1008	4	8.0%
27	2584	4	8.0%
28	569	4	8.0%
29	4186	4	8.0%
30	4849	3	6.0%
31	1147	3	6.0%
32	3893	3	6.0%
33	4062	3	6.0%
34	3770	3	6.0%
35	1404	2	4.0%
36	1723	2	4.0%
37	4195	2	4.0%
38	232	2	4.0%
39	4749	2	4.0%
40	3174	2	4.0%
41	4688	1	2.0%
42	4940	1	2.0%
43	1733	1	2.0%
44	4166	1	2.0%
45	1608	1	2.0%
46	1882	1	2.0%
47	493	1	2.0%
48	3064	1	2.0%
49	3422	1	2.0%
50	3110	1	2.0%
51	241	1	2.0%
52	1175	1	2.0%
53	1711	1	2.0%
54	876	1	2.0%
