# 实验时间: 2026-04-03
# 基因稳定性验证结果 - Fold 4 - stad
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 63
# 频次阈值: 1
# TopK(阈值<=1时生效): 50
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	3652	45	88.2%
2	4023	37	72.5%
3	1400	31	60.8%
4	2124	28	54.9%
5	1203	27	52.9%
6	4373	25	49.0%
7	4733	18	35.3%
8	4279	18	35.3%
9	3162	14	27.5%
10	4339	13	25.5%
11	4585	12	23.5%
12	96	10	19.6%
13	2048	9	17.6%
14	2565	9	17.6%
15	3658	8	15.7%
16	2022	7	13.7%
17	1158	6	11.8%
18	3310	5	9.8%
19	3032	5	9.8%
20	3061	5	9.8%
21	2522	5	9.8%
22	4367	4	7.8%
23	4238	4	7.8%
24	4638	4	7.8%
25	4757	4	7.8%
26	2365	4	7.8%
27	1495	4	7.8%
28	511	3	5.9%
29	1033	3	5.9%
30	2123	3	5.9%
31	4946	3	5.9%
32	3421	3	5.9%
33	4574	3	5.9%
34	1249	2	3.9%
35	175	2	3.9%
36	2990	2	3.9%
37	4735	2	3.9%
38	3867	2	3.9%
39	962	2	3.9%
40	1496	2	3.9%
41	1503	2	3.9%
42	1646	2	3.9%
43	4678	2	3.9%
44	1302	1	2.0%
45	1693	1	2.0%
46	3605	1	2.0%
47	4004	1	2.0%
48	74	1	2.0%
49	1032	1	2.0%
50	1202	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 4 - stad
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 63
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	3652	44	88.0%
2	4023	36	72.0%
3	1400	30	60.0%
4	2124	27	54.0%
5	1203	26	52.0%
6	4373	24	48.0%
7	4279	18	36.0%
8	4733	17	34.0%
9	3162	14	28.0%
10	4339	13	26.0%
11	4585	12	24.0%
12	96	10	20.0%
13	2048	9	18.0%
14	2565	9	18.0%
15	3658	8	16.0%
16	2022	7	14.0%
17	1158	6	12.0%
18	3310	5	10.0%
19	3032	5	10.0%
20	3061	5	10.0%
21	2522	5	10.0%
22	4367	4	8.0%
23	4238	4	8.0%
24	4638	4	8.0%
25	4757	4	8.0%
26	2365	4	8.0%
27	1495	4	8.0%
28	511	3	6.0%
29	1033	3	6.0%
30	2123	3	6.0%
31	4946	3	6.0%
32	3421	3	6.0%
33	4574	3	6.0%
34	1249	2	4.0%
35	175	2	4.0%
36	2990	2	4.0%
37	4735	2	4.0%
38	3867	2	4.0%
39	962	2	4.0%
40	1496	2	4.0%
41	1503	2	4.0%
42	1646	2	4.0%
43	4678	2	4.0%
44	1302	1	2.0%
45	1693	1	2.0%
46	3605	1	2.0%
47	4004	1	2.0%
48	74	1	2.0%
49	1032	1	2.0%
50	1202	1	2.0%
51	2650	1	2.0%
52	4261	1	2.0%
53	4432	1	2.0%
54	4146	1	2.0%
55	4812	1	2.0%
56	2543	1	2.0%
57	4713	1	2.0%
58	2824	1	2.0%
59	1013	1	2.0%
60	2272	1	2.0%
61	2715	1	2.0%
62	2472	1	2.0%
63	4921	1	2.0%
