# 实验时间: 2026-04-10
# 基因稳定性验证结果 - Fold 0 - blca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 1151
# 频次阈值: 1
# TopK(阈值<=1时生效): 100
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	1097	51	100.0%
2	4004	51	100.0%
3	1496	50	98.0%
4	4011	49	96.1%
5	4465	45	88.2%
6	2584	44	86.3%
7	3803	43	84.3%
8	1061	42	82.4%
9	2962	42	82.4%
10	554	40	78.4%
11	689	40	78.4%
12	2174	39	76.5%
13	832	38	74.5%
14	4807	38	74.5%
15	4494	37	72.5%
16	4679	35	68.6%
17	641	34	66.7%
18	745	34	66.7%
19	2384	33	64.7%
20	2817	33	64.7%
21	2952	31	60.8%
22	3920	31	60.8%
23	416	30	58.8%
24	3225	30	58.8%
25	3340	30	58.8%
26	718	29	56.9%
27	2737	29	56.9%
28	2862	29	56.9%
29	1108	28	54.9%
30	2578	27	52.9%
31	2733	26	51.0%
32	4183	26	51.0%
33	3347	26	51.0%
34	516	25	49.0%
35	123	24	47.1%
36	2575	24	47.1%
37	3699	24	47.1%
38	2885	23	45.1%
39	265	22	43.1%
40	635	22	43.1%
41	985	22	43.1%
42	2031	22	43.1%
43	2887	22	43.1%
44	4169	22	43.1%
45	4179	22	43.1%
46	1832	21	41.2%
47	3189	21	41.2%
48	3679	21	41.2%
49	4249	21	41.2%
50	4843	21	41.2%
51	281	20	39.2%
52	1079	20	39.2%
53	1427	20	39.2%
54	6	19	37.3%
55	1566	19	37.3%
56	68	18	35.3%
57	532	18	35.3%
58	1310	18	35.3%
59	3264	18	35.3%
60	390	18	35.3%
61	3633	18	35.3%
62	3706	18	35.3%
63	4792	18	35.3%
64	687	18	35.3%
65	1774	17	33.3%
66	2001	17	33.3%
67	2124	17	33.3%
68	2920	17	33.3%
69	4732	17	33.3%
70	4401	17	33.3%
71	1874	17	33.3%
72	1994	16	31.4%
73	3435	16	31.4%
