# 实验时间: 2026-04-09
# 基因稳定性验证结果 - Fold 3 - brca
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 1138
# 频次阈值: 1
# TopK(阈值<=1时生效): 100
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	4559	50	98.0%
2	2423	49	96.1%
3	252	47	92.2%
4	4450	45	88.2%
5	2086	37	72.5%
6	3732	34	66.7%
7	4698	34	66.7%
8	136	31	60.8%
9	727	31	60.8%
10	2815	30	58.8%
11	300	29	56.9%
12	3084	29	56.9%
13	3440	29	56.9%
14	4629	29	56.9%
15	3827	28	54.9%
16	434	27	52.9%
17	2160	27	52.9%
18	4464	27	52.9%
19	2869	27	52.9%
20	189	26	51.0%
21	214	26	51.0%
22	160	25	49.0%
23	817	25	49.0%
24	3552	24	47.1%
25	236	24	47.1%
26	40	23	45.1%
27	534	23	45.1%
28	1113	23	45.1%
29	3534	23	45.1%
30	4811	23	45.1%
31	3149	22	43.1%
32	1825	21	41.2%
33	3017	21	41.2%
34	2062	21	41.2%
35	2846	21	41.2%
36	2790	20	39.2%
37	3990	20	39.2%
38	219	19	37.3%
39	658	19	37.3%
40	4050	19	37.3%
41	2122	18	35.3%
42	2878	18	35.3%
43	1019	18	35.3%
44	509	17	33.3%
45	697	17	33.3%
46	4683	17	33.3%
47	527	17	33.3%
48	579	16	31.4%
49	1347	16	31.4%
50	1554	16	31.4%
51	1916	16	31.4%
52	2395	16	31.4%
53	3031	16	31.4%
54	4136	16	31.4%
55	235	16	31.4%
56	819	16	31.4%
57	4002	16	31.4%
58	3	16	31.4%
59	80	15	29.4%
60	315	15	29.4%
61	1452	15	29.4%
62	3176	15	29.4%
63	4072	15	29.4%
64	4595	15	29.4%
65	4661	15	29.4%
66	2830	15	29.4%
67	4030	15	29.4%
68	1005	15	29.4%
69	720	15	29.4%
70	1950	15	29.4%
71	93	15	29.4%
72	251	14	27.5%
