# 瀹為獙鏃堕棿: 2026-04-08
# 鍩哄洜绋冲畾鎬ч獙璇佺粨鏋?- Fold 0 - hnsc
# 鎶芥牱妯″紡: Random (鏃犳斁鍥炴娊鏍? 姣斾緥=0.9)
# 杩唬娆℃暟: 51
# 鍏朵腑闅忔満鎶芥牱娆℃暟: 50 (鍙﹀惈鍏ㄩ泦1娆?
# 鍞竴鍩哄洜鏁? 262
# 棰戞闃堝€? 1
# TopK(闃堝€?=1鏃剁敓鏁?: 100
#
# 鎺掑悕	鍩哄洜绱㈠紩	鍑虹幇娆℃暟	鍑虹幇棰戠巼
==================================================
1	1883	44	86.3%
2	3171	44	86.3%
3	4257	44	86.3%
4	3991	39	76.5%
5	1478	31	60.8%
6	3435	31	60.8%
7	563	24	47.1%
8	960	22	43.1%
9	3700	20	39.2%
10	97	19	37.3%
11	1135	19	37.3%
12	1442	18	35.3%
13	780	16	31.4%
14	1758	16	31.4%
15	2352	15	29.4%
16	3149	15	29.4%
17	622	13	25.5%
18	1477	13	25.5%
19	283	12	23.5%
20	4002	11	21.6%
21	2437	10	19.6%
22	4958	10	19.6%
23	4848	10	19.6%
24	1944	8	15.7%
25	4356	8	15.7%
26	1268	8	15.7%
27	3264	8	15.7%
28	757	8	15.7%
29	1947	8	15.7%
30	1896	7	13.7%
31	1063	7	13.7%
32	3515	7	13.7%
33	187	7	13.7%
34	538	6	11.8%
35	596	6	11.8%
36	1693	6	11.8%
37	4433	6	11.8%
38	1020	5	9.8%
39	4301	5	9.8%
40	184	5	9.8%
41	4949	5	9.8%
42	1019	5	9.8%
43	3980	5	9.8%
44	2282	5	9.8%
45	3882	5	9.8%
46	310	5	9.8%
47	4221	5	9.8%
48	4276	5	9.8%
49	3782	5	9.8%
50	605	5	9.8%
51	1570	5	9.8%
52	754	4	7.8%
53	83	4	7.8%
54	1008	4	7.8%
55	2584	4	7.8%
56	602	4	7.8%
57	4919	4	7.8%
58	215	4	7.8%
59	487	4	7.8%
60	2547	4	7.8%
61	569	4	7.8%
62	532	4	7.8%
63	4186	4	7.8%
64	2397	4	7.8%
65	2524	3	5.9%
66	265	3	5.9%
67	2222	3	5.9%
68	2223	3	5.9%
69	4313	3	5.9%
70	4849	3	5.9%
71	683	3	5.9%
72	1147	3	5.9%
73	4305	3	5.9%
74	3037	3	5.9%
75	4606	3	5.9%
76	4829	3	5.9%
77	3893	3	5.9%
78	4447	3	5.9%
79	531	3	5.9%
80	2464	3	5.9%
81	4062	3	5.9%
82	3773	3	5.9%
83	3243	3	5.9%
84	3770	3	5.9%
85	4975	3	5.9%
86	2244	3	5.9%
87	4927	2	3.9%
88	111	2	3.9%
89	2729	2	3.9%
90	228	2	3.9%
91	768	2	3.9%
92	2456	2	3.9%
93	4743	2	3.9%
94	3377	2	3.9%
95	4839	2	3.9%
96	1404	2	3.9%
97	958	2	3.9%
98	4233	2	3.9%
99	1723	2	3.9%
100	2145	2	3.9%

======================================================================
# 实验时间: 2026-04-03
# 基因稳定性验证结果 - Fold 0 - hnsc
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 54
# 频次阈值: 1
# TopK(阈值<=1时生效): 50
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	1883	44	86.3%
2	3171	44	86.3%
3	4257	44	86.3%
4	3991	39	76.5%
5	1478	31	60.8%
6	3700	20	39.2%
7	1135	19	37.3%
8	780	16	31.4%
9	2352	15	29.4%
10	283	12	23.5%
11	4002	11	21.6%
12	1268	8	15.7%
13	757	8	15.7%
14	1063	7	13.7%
15	3515	7	13.7%
16	187	7	13.7%
17	4433	6	11.8%
18	1019	5	9.8%
19	2282	5	9.8%
20	3882	5	9.8%
21	310	5	9.8%
22	4221	5	9.8%
23	3782	5	9.8%
24	1570	5	9.8%
25	83	4	7.8%
26	1008	4	7.8%
27	2584	4	7.8%
28	569	4	7.8%
29	4186	4	7.8%
30	4849	3	5.9%
31	1147	3	5.9%
32	3893	3	5.9%
33	4062	3	5.9%
34	3770	3	5.9%
35	1404	2	3.9%
36	1723	2	3.9%
37	4195	2	3.9%
38	232	2	3.9%
39	4749	2	3.9%
40	3174	2	3.9%
41	4688	1	2.0%
42	4940	1	2.0%
43	1733	1	2.0%
44	4166	1	2.0%
45	1608	1	2.0%
46	1882	1	2.0%
47	493	1	2.0%
48	3064	1	2.0%
49	3422	1	2.0%
50	3110	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 0 - hnsc
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 54
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	1883	43	86.0%
2	3171	43	86.0%
3	4257	43	86.0%
4	3991	38	76.0%
5	1478	30	60.0%
6	1135	19	38.0%
7	3700	19	38.0%
8	780	15	30.0%
9	2352	14	28.0%
10	283	12	24.0%
11	4002	11	22.0%
12	1268	8	16.0%
13	757	8	16.0%
14	1063	7	14.0%
15	3515	7	14.0%
16	187	7	14.0%
17	4433	6	12.0%
18	1019	5	10.0%
19	2282	5	10.0%
20	3882	5	10.0%
