# 实验时间: 2026-04-03
# 基因稳定性验证结果 - Fold 4 - hnsc
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 51
# 其中随机抽样次数: 50 (另含全集1次)
# 唯一基因数: 57
# 频次阈值: 1
# TopK(阈值<=1时生效): 50
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	4532	48	94.1%
2	3991	42	82.4%
3	4002	41	80.4%
4	1883	26	51.0%
5	66	21	41.2%
6	4540	20	39.2%
7	4741	19	37.3%
8	4257	17	33.3%
9	4372	16	31.4%
10	1308	14	27.5%
11	2584	13	25.5%
12	241	11	21.6%
13	3519	9	17.6%
14	3770	8	15.7%
15	3577	8	15.7%
16	1090	8	15.7%
17	83	6	11.8%
18	3092	6	11.8%
19	4720	5	9.8%
20	4845	3	5.9%
21	1882	3	5.9%
22	4989	3	5.9%
23	2073	3	5.9%
24	3946	3	5.9%
25	3174	3	5.9%
26	4650	3	5.9%
27	2235	3	5.9%
28	1059	2	3.9%
29	4265	2	3.9%
30	3328	2	3.9%
31	3171	2	3.9%
32	1955	2	3.9%
33	4768	2	3.9%
34	153	1	2.0%
35	310	1	2.0%
36	887	1	2.0%
37	2048	1	2.0%
38	668	1	2.0%
39	4357	1	2.0%
40	3596	1	2.0%
41	4664	1	2.0%
42	3661	1	2.0%
43	4081	1	2.0%
44	1359	1	2.0%
45	591	1	2.0%
46	3485	1	2.0%
47	4918	1	2.0%
48	4101	1	2.0%
49	4287	1	2.0%
50	1658	1	2.0%

======================================================================
# 实验时间: 2026-04-02
# 基因稳定性验证结果 - Fold 4 - hnsc
# 抽样模式: Random (无放回抽样, 比例=0.9)
# 迭代次数: 50
# 唯一基因数: 57
#
# 排名	基因索引	出现次数	出现频率
==================================================
1	4532	47	94.0%
2	3991	41	82.0%
3	4002	40	80.0%
4	1883	25	50.0%
5	66	21	42.0%
6	4540	19	38.0%
7	4741	19	38.0%
8	4257	16	32.0%
9	4372	15	30.0%
10	1308	14	28.0%
11	2584	13	26.0%
12	241	11	22.0%
13	3519	9	18.0%
14	3770	8	16.0%
15	3577	8	16.0%
16	1090	8	16.0%
17	83	6	12.0%
18	3092	6	12.0%
19	4720	5	10.0%
20	4845	3	6.0%
21	1882	3	6.0%
22	4989	3	6.0%
23	2073	3	6.0%
24	3946	3	6.0%
25	3174	3	6.0%
26	4650	3	6.0%
27	2235	3	6.0%
28	1059	2	4.0%
29	4265	2	4.0%
30	3328	2	4.0%
31	3171	2	4.0%
32	1955	2	4.0%
33	4768	2	4.0%
34	153	1	2.0%
35	310	1	2.0%
36	887	1	2.0%
37	2048	1	2.0%
38	668	1	2.0%
39	4357	1	2.0%
40	3596	1	2.0%
41	4664	1	2.0%
42	3661	1	2.0%
43	4081	1	2.0%
44	1359	1	2.0%
45	591	1	2.0%
46	3485	1	2.0%
47	4918	1	2.0%
48	4101	1	2.0%
49	4287	1	2.0%
50	1658	1	2.0%
51	3408	1	2.0%
52	3782	1	2.0%
53	1016	1	2.0%
54	2065	1	2.0%
55	4940	1	2.0%
56	3777	1	2.0%
57	3058	1	2.0%
